"candidate_number","coalition_proportional","alliance_proportional"
897,126.13043,115.83333
898,107.44444,99.28571
899,60.4375,57.91667
900,145.05,139
901,93.58065,86.875
902,55.78846,53.46154
903,51.80357,49.64286
904,67.46512,63.18182
905,70.7561,69.5
906,207.21429,173.75
907,483.5,347.5
908,1450.5,695
909,10,10
