--ARVONTATAPA
tamy

--PAIKKOJA
#Edustajiston paikkamäärä
60

--RENKAAT
# renkaan numero, nimi, tunnus
1,Pelastusrengas,Pelast
2,Svenska Nationer och Ämnesföreningar (SNÄf),SNÄf
3,HELP,HELP
4,Maailmanpyörä,MP
5,Osakuntien suuri vaalirengas,Osak
6,Ainejärjestöjen vaalirengas,HYAL

--LIITOT
# liiton numero, renkaan numero, nimi, lyhenne
1,0,Akateemiset piraatit,Pirate
2,0,Tsemppi Group,Tsempp
3,0,Opiskelijademarit,OSY
4,1,Kokoomusopiskelijat 1,Kok1
5,1,Kokoomusopiskelijat 2,Kok2
6,1,Keskeiset,Kesk
7,1,KD Helsingin Opiskelijat,KD
8,2,Codex-Thorax,CodTho
9,2,Nationerna,Nation
10,2,StudOrg,StudO
11,2,Ämnesföreningarna,Ämnesf
12,0,Liberaalinen vaaliliitto - Yksilönvapauden puolesta,Liberal
13,3,Pykälä,Pykälä
14,3,LKS/HLKS,LKSHLKS
15,3,EKY,EKY
16,0,Perussuomalainen vaaliliitto,Peruss
17,4,Sitoutumaton vasemmisto - Obunden vänster - Independent left,SitVas
18,4,HYYn Vihreät - De Gröna vid HUS,HyVi
19,5,ESO,ESO
20,5,SavO,SavO
21,5,HO-Natura,HO-Nat
22,5,KSO-VSO,KSOVSO
23,5,SatO-ESO2,SatESO
24,5,Domus Gaudiumin Osakunnat,DG
25,5,EPO,EPO
26,5,PPO,PPO
27,6,Humanistit,Humani
28,6,Kumpula,Kumpula
29,6,Käyttis,Käyttis
30,6,Teologit,Teolog
31,6,Valtiotieteilijät,Valtio
32,6,Viikki,Viikki
33,0,Vaaliliittoon kuulumaton ehdokas,ITE



--EHDOKKAAT
#ehdokkaan numero, liiton numero, nimi,0
94, 4, Majaniemi Milla, 10; 2,0,2
95, 4, Matilainen Helena, 1; 1,0,0
96, 4, Mattila Matti, 1; 4,0,0
97, 4, Meriläinen Jaakko, 3; 6,0,0
98, 4, Merisaari Lotta, 3; 7,0,0
99, 4, Metelinen Sami 'Johtaja', 0; 6,0,0
100, 4, Mustonen Niilo, 3; 4,0,0
101, 4, Mäkijärvi Essi, 11; 2,0,1
102, 5, Mäkisalo Aino, 9; 1,0,2
103, 5, Nisu Timo, 0; 2,0,0
104, 5, Nurmela Tuomas, 5; 1,0,0
105, 5, Oldroyd Daniel, 15; 0,0,1
106, 5, Olenius Mikael, 0; 1,0,0
107, 5, Pihlajamaa Juhana, 6; 0,0,0
108, 5, Pirhonen Laura, 1; 3,0,0
109, 5, Pohjankoski Pekka, 8; 1,0,1
110, 5, Poikonen Jaakko, 8; 2,0,0
111, 5, Poutiainen Marika, 9; 3,0,2
112, 5, Pulsa Päivi, 12; 0,0,1
113, 5, Puukko Sampo, 4; 7,0,0
114, 5, Puuska Markus, 14; 3,0,1
115, 5, Rantakari Pekka, 2; 5,0,0
116, 5, Rautala Heikki, 14; 1,0,1
117, 5, Rautiainen Anni, 1; 5,0,0
118, 5, Rintala Pekka, 4; 1,0,0
119, 5, Rydman Arno, 4; 8,0,0
120, 5, Ryösä Markku, 2; 7,0,0
121, 5, Sahamies Laura, 4; 6,0,0
122, 5, Sahamies Miika, 0; 5,0,0
123, 5, Sahamies Noora, 1; 7,0,0
124, 5, Seikkula Jani, 3; 1,0,0
125, 5, Siekkinen Elisa, 2; 3,0,0
126, 5, Siltanen Aleksi, 3; 2,0,0
127, 5, Silvonen Pauliina, 0; 4,0,0
128, 5, Suomela Iida, 13; 0,0,1
129, 5, Suominen Osmo, 38; 0,0,2
130, 5, Tarkkanen Minni, 14; 2,0,1
131, 5, Tiainen Jari M., 1; 6,0,0
132, 5, Tiensuu Tuomas, 2; 8,0,0
133, 5, Tirronen Anna, 1; 1,0,0
134, 5, Toepfer Johannes, 7; 0,0,0
135, 5, Tulenheimo Pauliina, 0; 3,0,0
136, 5, Tuohiniemi Jussi, 4; 4,0,0
137, 5, Tähtinen Mikko, 4; 3,0,0
138, 5, Utti-Lankinen Katja, 9; 2,0,1
139, 5, Uuspelto Vesa, 2; 1,0,0
140, 5, Vainio Oona, 1; 4,0,0
141, 5, Vasaramäki Ville, 1; 8,0,0
142, 5, Vedenpää Ruut, 2; 9,0,0
143, 5, Viholainen Antti, 1; 2,0,0
144, 5, Viitamäki Pertti, 4; 2,0,0
145, 5, Viljamaa Maija, 18; 0,0,2
146, 5, Virén Hanna, 2; 2,0,0
147, 5, Vuori Timo, 4; 5,0,0
148, 5, Vähäkuopus Niko, 5; 2,0,0
149, 5, Välisalmi Satu, 2; 4,0,0
150, 5, Wilskman Juho, 2; 6,0,0
151, 6, Acar Ömer, 13; 1,0,2
152, 6, Autelo Asko, 12; 0,0,2
153, 6, Eskelinen Aleksi, 2; 1,1,0
154, 6, Eskelinen Juha, 14; 0,0,2
155, 6, Hämäläinen Jouko, 7; 1,1,2
156, 6, Kallio Jaakko, 3; 0,0,0
157, 6, Kallio Laura, 22; 0,1,1
158, 6, Karhunen Heli, 1; 1,0,0
159, 6, Kinnunen Teemu, 1; 2,1,0
160, 6, Lahtinen Anu, 5; 0,1,0
161, 6, Paukkeri Susanna, 6; 0,0,0
162, 6, Peltokangas Kalle, 37; 0,0,1
163, 6, Pihlaja Kaisa, 13; 2,2,2
164, 6, Ranki Anna, 8; 0,0,1
165, 6, Saaristo Olli, 83; 0,0,1
166, 6, Sivula Mika, 7; 2,0,2
167, 6, Vuorinen Simo, 2; 2,0,0
168, 6, Ylimaa Markus, 4; 0,0,0
169, 7, Forsberg Andreas 'Andy', 7; 0,0,0
170, 7, Furu Niklas, 6; 2,0,0
171, 7, Garaisi Tomas, 23; 0,0,2
172, 7, Kaksonen Marika, 8; 2,0,0
173, 7, Kyyhkynen Suvianna, 16; 0,0,2
174, 7, Kärmeranta Hanna, 11; 2,0,2
175, 7, Mikkonen Tero, 4; 2,0,0
176, 7, Pynnönen Eerika, 8; 1,0,0
177, 7, Riihimäki Ilkka, 20; 0,0,2
178, 7, Salo Tuomas, 11; 1,0,2
179, 7, Simonen Iiris, 4; 1,0,0
180, 7, Starck Leo, 9; 0,0,1
181, 7, Tompuri Pamela, 6; 1,0,0
182, 7, Ventin Sonja, 6; 3,0,0
183, 8, Holmström Jenny-Li, 10; 1,0,0
184, 8, Huldén Alexis, 3; 0,0,0
185, 8, Kuhlefelt Jasper, 5; 0,0,0
186, 8, Rantanen Johanna, 10; 2,0,0
187, 8, Tanskanen Tuulia, 10; 3,0,0
188, 8, Törnblom Vanessa, 41; 0,0,0
189, 8, Hildén Oscar, 30; 0,0,0
190, 8, Pipping Hugo, 46; 0,0,0
191, 9, Finne Ina, 5; 2,0,2
192, 9, Finne Marie 'Mojo', 2; 3,0,0
193, 9, Forsskåhl Oskar, 2; 2,0,0
194, 9, Husberg Ida, 7; 1,0,0
195, 9, Kilpelä Eliel, 21; 0,0,0
196, 9, Murto Armi, 7; 3,0,0
197, 9, Scheinin Elias, 15; 0,0,0
198, 9, Engbom Ronny, 5; 1,0,0
199, 9, Finnäs Jens, 11; 0,0,0
200, 9, Knip Sara, 6; 2,0,0
201, 9, Smeds Charlotta, 14; 0,0,0
202, 9, Sjölund Stefan, 2; 1,0,0
203, 9, Sundström Kasper, 19; 0,0,0
204, 9, French Jenny, 7; 2,0,0
205, 9, Nordling Emilia, 20; 0,0,0
206, 9, Palmén Anna-Pia, 6; 1,0,0
207, 9, Pirinen Jani, 4; 0,0,0
208, 9, Tallberg Annette, 16; 0,0,0
209, 10, Andersson Elin, 5; 1,0,0
210, 10, Haglund Mia, 54; 0,0,0
211, 10, Kyllönen Rasmus, 36; 0,0,0
212, 10, Lindström Liselott, 18; 0,0,0
213, 10, Metsämäki Johanna, 2; 0,0,0
214, 10, Ringbom Karin, 11; 0,0,0
215, 10, Riska Johannes, 4; 0,0,0
216, 10, Sjöholm Peter 'Poppe', 20; 0,0,0
217, 10, Sundberg Maj, 9; 0,0,0
218, 10, Tallqvist John, 5; 2,0,0
219, 10, Uusikylä Julius, 8; 0,0,0
220, 10, Wikström Joanna, 12; 0,0,0
221, 11, Sandqvist Oskar, 6; 0,0,0
222, 11, Granbohm Henrika, 11; 0,0,0
223, 11, Liesipohja Susanna, 2; 0,0,0
224, 11, Venäläinen Annika, 28; 0,0,0
225, 12, Andersson Timo, 4; 0,0,0
226, 12, Sjöström Kim, 2; 0,0,0
227, 12, Vainio Janne, 7; 0,0,0
228, 13, Apter Ted, 79; 0,0,0
229, 13, Autio Ilari, 24; 1,0,0
230, 13, Blåfield Eero, 3; 4,0,0
231, 13, Giss Heidi, 6; 6,0,0
232, 13, Granlund Aarne, 3; 2,0,0
233, 13, Hallikainen Irene, 4; 1,0,0
234, 13, Hokkanen Minna, 7; 0,0,0
235, 13, Hytönen Satu, 24; 2,0,0
236, 13, Kaakkola Antti, 13; 0,0,0
237, 13, Karvinen Kiti, 12; 2,0,0
238, 13, Keino Iiris, 6; 3,0,0
239, 13, Kerppola Antti, 80; 0,0,0
240, 13, Komulainen Elina, 4; 2,0,0
241, 13, Kortesmaa Kaisa, 9; 1,0,0
242, 13, Koskentausta Lauri, 8; 2,0,0
243, 13, Kouhi Markus, 10; 0,0,0
244, 13, Kylmäniemi Hanna, 5; 1,0,0
245, 13, Kärki Eero, 9; 4,0,0
246, 13, Lahtinen Alpo, 6; 5,0,0
247, 13, Lassila Samu, 6; 4,0,0
248, 13, Lehti Isabella, 6; 2,0,0
249, 13, Lindholm Kristiina, 9; 3,0,0
250, 13, Linnankoski Manuel, 8; 5,0,0
251, 13, Markkanen Otto, 1; 1,0,0
252, 13, Mattila Olli-Pekka, 8; 3,0,0
253, 13, Merenmies Matilda, 30; 0,0,0
254, 13, Metsämäki Joonas, 1; 2,0,0
255, 13, Muinonen Kaisa, 5; 2,0,0
256, 13, Männistö Johanna, 12; 3,0,0
257, 13, Nieminen Tero, 4; 3,0,0
258, 13, Paajanen Panu, 8; 4,0,0
