"id","voting_area_id","candidate_id","amount","created_at","updated_at","fixed_amount"
76,1,76,5,"2018-11-02 11:42:10.814636","2018-11-02 11:42:10.814636",
77,1,77,7,"2018-11-02 11:42:10.819061","2018-11-02 11:42:10.819061",
78,1,78,12,"2018-11-02 11:42:10.823308","2018-11-02 11:42:10.823308",
79,1,79,3,"2018-11-02 11:42:10.827476","2018-11-02 11:42:10.827476",
80,1,80,2,"2018-11-02 11:42:10.831807","2018-11-02 11:42:10.831807",
81,1,81,3,"2018-11-02 11:42:10.836415","2018-11-02 11:42:10.836415",
82,1,82,1,"2018-11-02 11:42:10.840953","2018-11-02 11:42:10.840953",
83,1,83,4,"2018-11-02 11:42:10.845496","2018-11-02 11:42:10.845496",
84,1,84,7,"2018-11-02 11:42:10.849961","2018-11-02 11:42:10.849961",
85,1,85,5,"2018-11-02 11:42:10.855493","2018-11-02 11:42:10.855493",
86,1,86,0,"2018-11-02 11:42:10.860218","2018-11-02 11:42:10.860218",
87,1,87,0,"2018-11-02 11:42:10.865158","2018-11-02 11:42:10.865158",
88,1,88,10,"2018-11-02 11:42:10.86935","2018-11-02 11:42:10.86935",
89,1,89,3,"2018-11-02 11:42:10.873471","2018-11-02 11:42:10.873471",
90,1,90,3,"2018-11-02 11:42:10.87806","2018-11-02 11:42:10.87806",
91,1,91,0,"2018-11-02 11:42:10.882514","2018-11-02 11:42:10.882514",
92,1,92,0,"2018-11-02 11:42:10.886988","2018-11-02 11:42:10.886988",
93,1,93,10,"2018-11-02 11:42:10.891463","2018-11-02 11:42:10.891463",
94,1,94,1,"2018-11-02 11:42:10.895981","2018-11-02 11:42:10.895981",
95,1,95,1,"2018-11-02 11:42:10.900633","2018-11-02 11:42:10.900633",
96,1,96,3,"2018-11-02 11:42:10.905015","2018-11-02 11:42:10.905015",
97,1,97,3,"2018-11-02 11:42:10.909277","2018-11-02 11:42:10.909277",
98,1,98,0,"2018-11-02 11:42:10.913619","2018-11-02 11:42:10.913619",
99,1,99,3,"2018-11-02 11:42:10.917703","2018-11-02 11:42:10.917703",
100,1,100,11,"2018-11-02 11:42:10.921772","2018-11-02 11:42:10.921772",
101,1,101,9,"2018-11-02 11:42:10.926264","2018-11-02 11:42:10.926264",
102,1,102,0,"2018-11-02 11:42:10.930305","2018-11-02 11:42:10.930305",
103,1,103,5,"2018-11-02 11:42:10.934725","2018-11-02 11:42:10.934725",
104,1,104,15,"2018-11-02 11:42:10.939028","2018-11-02 11:42:10.939028",
105,1,105,0,"2018-11-02 11:42:10.943472","2018-11-02 11:42:10.943472",
106,1,106,6,"2018-11-02 11:42:10.948121","2018-11-02 11:42:10.948121",
107,1,107,1,"2018-11-02 11:42:10.952681","2018-11-02 11:42:10.952681",
108,1,108,8,"2018-11-02 11:42:10.957484","2018-11-02 11:42:10.957484",
109,1,109,8,"2018-11-02 11:42:10.963798","2018-11-02 11:42:10.963798",
110,1,110,9,"2018-11-02 11:42:10.968218","2018-11-02 11:42:10.968218",
111,1,111,12,"2018-11-02 11:42:10.973877","2018-11-02 11:42:10.973877",
112,1,112,4,"2018-11-02 11:42:10.979534","2018-11-02 11:42:10.979534",
113,1,113,14,"2018-11-02 11:42:10.985159","2018-11-02 11:42:10.985159",
114,1,114,2,"2018-11-02 11:42:10.99062","2018-11-02 11:42:10.99062",
115,1,115,14,"2018-11-02 11:42:10.996316","2018-11-02 11:42:10.996316",
116,1,116,1,"2018-11-02 11:42:11.001707","2018-11-02 11:42:11.001707",
117,1,117,4,"2018-11-02 11:42:11.00668","2018-11-02 11:42:11.00668",
118,1,118,4,"2018-11-02 11:42:11.011536","2018-11-02 11:42:11.011536",
119,1,119,2,"2018-11-02 11:42:11.01631","2018-11-02 11:42:11.01631",
120,1,120,4,"2018-11-02 11:42:11.021122","2018-11-02 11:42:11.021122",
121,1,121,0,"2018-11-02 11:42:11.026157","2018-11-02 11:42:11.026157",
122,1,122,1,"2018-11-02 11:42:11.030744","2018-11-02 11:42:11.030744",
123,1,123,3,"2018-11-02 11:42:11.035624","2018-11-02 11:42:11.035624",
124,1,124,2,"2018-11-02 11:42:11.040378","2018-11-02 11:42:11.040378",
125,1,125,3,"2018-11-02 11:42:11.045738","2018-11-02 11:42:11.045738",
126,1,126,0,"2018-11-02 11:42:11.050564","2018-11-02 11:42:11.050564",
127,1,127,13,"2018-11-02 11:42:11.055089","2018-11-02 11:42:11.055089",
128,1,128,38,"2018-11-02 11:42:11.060473","2018-11-02 11:42:11.060473",
129,1,129,14,"2018-11-02 11:42:11.0651","2018-11-02 11:42:11.0651",
130,1,130,1,"2018-11-02 11:42:11.069383","2018-11-02 11:42:11.069383",
131,1,131,2,"2018-11-02 11:42:11.073624","2018-11-02 11:42:11.073624",
132,1,132,1,"2018-11-02 11:42:11.07797","2018-11-02 11:42:11.07797",
133,1,133,7,"2018-11-02 11:42:11.083052","2018-11-02 11:42:11.083052",
134,1,134,0,"2018-11-02 11:42:11.087409","2018-11-02 11:42:11.087409",
135,1,135,4,"2018-11-02 11:42:11.093132","2018-11-02 11:42:11.093132",
136,1,136,4,"2018-11-02 11:42:11.098391","2018-11-02 11:42:11.098391",
137,1,137,9,"2018-11-02 11:42:11.103244","2018-11-02 11:42:11.103244",
138,1,138,2,"2018-11-02 11:42:11.107772","2018-11-02 11:42:11.107772",
139,1,139,1,"2018-11-02 11:42:11.112567","2018-11-02 11:42:11.112567",
140,1,140,1,"2018-11-02 11:42:11.117481","2018-11-02 11:42:11.117481",
